file,variable,var_class
ETS_ARDECO_merged/data_eurostat_zip/data_eurostat/processed_data/ardeco_panel_2005_2023_nuts3.csv,hoursworkedbyindustry.NACE2._sec_K,industry_code
ETS_ARDECO_merged/data_eurostat_zip/data_eurostat/processed_data/ardeco_panel_2005_2023_nuts3.csv,hoursworkedbyindustry.NACE2._sec_K.N,industry_code
ETS_ARDECO_merged/data_eurostat_zip/data_eurostat/processed_data/ardeco_panel_2005_2023_nuts3.csv,hoursworkedbyindustry.NACE2._sec_L,industry_code
ETS_ARDECO_merged/data_eurostat_zip/data_eurostat/processed_data/ardeco_panel_2005_2023_nuts3.csv,hoursworkedbyindustry.NACE2._sec_M_N,industry_code
ETS_ARDECO_merged/data_eurostat_zip/data_eurostat/processed_data/ardeco_panel_2005_2023_nuts3.csv,hoursworkedbyindustry.NACE2._sec_O.Q,industry_code
ETS_ARDECO_merged/data_eurostat_zip/data_eurostat/processed_data/ardeco_panel_2005_2023_nuts3.csv,hoursworkedbyindustry.NACE2._sec_O.U,industry_code
ETS_ARDECO_merged/data_eurostat_zip/data_eurostat/processed_data/ardeco_panel_2005_2023_nuts3.csv,hoursworkedbyindustry.NACE2._sec_R.U,industry_code
ETS_ARDECO_merged/data_eurostat_zip/data_eurostat/processed_data/ardeco_panel_2005_2023.csv,hoursworkedbyindustry.NACE2._sec_A,industry_code
ETS_ARDECO_merged/data_eurostat_zip/data_eurostat/processed_data/ardeco_panel_2005_2023.csv,hoursworkedbyindustry.NACE2._sec_B.E,industry_code
ETS_ARDECO_merged/data_eurostat_zip/data_eurostat/processed_data/ardeco_panel_2005_2023.csv,hoursworkedbyindustry.NACE2._sec_F,industry_code
ETS_ARDECO_merged/data_eurostat_zip/data_eurostat/processed_data/ardeco_panel_2005_2023.csv,hoursworkedbyindustry.NACE2._sec_G.I,industry_code
ETS_ARDECO_merged/data_eurostat_zip/data_eurostat/processed_data/ardeco_panel_2005_2023.csv,hoursworkedbyindustry.NACE2._sec_G.J,industry_code
ETS_ARDECO_merged/data_eurostat_zip/data_eurostat/processed_data/ardeco_panel_2005_2023.csv,hoursworkedbyindustry.NACE2._sec_J,industry_code
ETS_ARDECO_merged/data_eurostat_zip/data_eurostat/processed_data/ardeco_panel_2005_2023.csv,hoursworkedbyindustry.NACE2._sec_K,industry_code
ETS_ARDECO_merged/data_eurostat_zip/data_eurostat/processed_data/ardeco_panel_2005_2023.csv,hoursworkedbyindustry.NACE2._sec_K.N,industry_code
ETS_ARDECO_merged/data_eurostat_zip/data_eurostat/processed_data/ardeco_panel_2005_2023.csv,hoursworkedbyindustry.NACE2._sec_L,industry_code
ETS_ARDECO_merged/data_eurostat_zip/data_eurostat/processed_data/ardeco_panel_2005_2023.csv,hoursworkedbyindustry.NACE2._sec_M_N,industry_code
ETS_ARDECO_merged/data_eurostat_zip/data_eurostat/processed_data/ardeco_panel_2005_2023.csv,hoursworkedbyindustry.NACE2._sec_O.Q,industry_code
ETS_ARDECO_merged/data_eurostat_zip/data_eurostat/processed_data/ardeco_panel_2005_2023.csv,hoursworkedbyindustry.NACE2._sec_O.U,industry_code
ETS_ARDECO_merged/data_eurostat_zip/data_eurostat/processed_data/ardeco_panel_2005_2023.csv,hoursworkedbyindustry.NACE2._sec_R.U,industry_code
