NUTS_ID,avg_d_emissions,avg_d_employment,n_obs
AT113,-1252.27777777778,-0.011111111111111,18
AT121,-5486,0.272222222222222,18
AT122,-5433.27777777778,-1.07938349616335e-16,18
AT123,-6739.5,-0.0277777777777778,18
AT124,-32005.6666666667,0.0500000000000001,18
AT125,-4660.11111111111,0.0333333333333334,18
AT126,-165199.166666667,0.0888888888888888,18
AT127,-19570.2222222222,0.0666666666666668,18
AT130,-61028.5555555556,-0.638888888888889,18
AT211,-10519.2222222222,0.127777777777778,18
AT212,-1447.22222222222,-0.0111111111111111,18
AT213,4770.66666666667,0.0666666666666667,18
AT221,-22969.1111111111,0.599999999999999,18
AT222,-1146.05882352941,0.00588235294117646,17
AT223,-8077.77777777778,0.133333333333333,18
AT224,-1554.66666666667,0.122222222222222,18
AT225,-122495.944444444,0.122222222222222,18
AT226,-1379.66666666667,-0.0277777777777778,18
AT311,-43199.8888888889,0.866666666666666,18
AT312,2325.16666666667,0.8,18
AT313,-45.1111111111111,0.244444444444444,18
AT314,-2728,0.0555555555555555,18
AT315,-46171.1111111111,0.233333333333333,18
AT322,-216,0.057142857142857,7
AT323,-17931.3888888889,0.0388888888888891,18
AT331,-2304.72222222222,0.0277777777777778,18
AT332,-2538.83333333333,-0.0277777777777779,18
AT333,-95.8333333333333,0.0833333333333333,18
AT335,3457.88888888889,0.35,18
AT341,-361.866666666667,0.14,15
AT342,-1863.61111111111,0.344444444444444,18
BE100,-52684.5555555556,-0.761111111111111,18
BE211,8280.27777777778,-0.877777777777778,18
BE212,-7023.55555555556,-0.0333333333333332,18
BE213,-89549.6111111111,-0.244444444444445,18
BE223,-5936.33333333333,-0.0499999999999999,18
BE224,-148051.944444444,-0.45,18
BE225,-5859.55555555556,-0.188888888888889,18
BE231,-4898.61111111111,-0.105555555555556,18
BE232,-1751.44444444444,-0.0444444444444446,18
BE233,372,0.25,2
BE234,-566807.666666667,-0.016666666666667,18
BE235,-154091.5,-0.227777777777778,18
BE236,-58180.8333333333,3.39234813079909e-17,18
BE241,-37859.2222222222,-0.438888888888889,18
BE242,-5222.77777777778,-0.144444444444444,18
BE251,-34271.5,-0.133333333333333,18
BE252,-2058.66666666667,4.31753398465339e-17,18
BE253,2271.16666666667,0.0777777777777778,18
BE254,-2105.61111111111,-0.344444444444445,18
BE255,1260.16666666667,0.0555555555555555,18
BE256,-4472.5,-0.0444444444444446,18
BE257,-5304.94444444445,-0.0888888888888888,18
BE258,-1785.5,-0.00555555555555553,18
BE310,-7190.33333333333,0.216666666666667,18
BE323,-71632.8333333333,-0.0333333333333332,18
BE328,-25467.2222222222,0.177777777777778,18
BE329,-9515.72222222222,-0.0833333333333333,18
BE32A,-3735.14285714286,0.0571428571428571,14
BE32B,-194640.111111111,-0.366666666666667,18
BE32C,-4785.22222222222,-0.111111111111111,18
BE331,-53300.6666666667,0.0388888888888889,18
BE332,-263812.222222222,-0.272222222222222,18
BE334,-5505.5,-0.0166666666666667,18
BE335,-4665.27777777778,-0.0833333333333333,18
BE336,-1045.94444444444,-0.00555555555555559,18
BE341,-584.866666666667,-0.04,15
BE342,-842.555555555556,0.0333333333333333,18
BE343,-6056.66666666667,0.0111111111111111,18
BE344,1741.66666666667,0.0166666666666667,18
BE345,-1799,-0.0111111111111111,18
BE351,-478.5,0.0125,8
BE352,-63979.6666666667,-0.0944444444444445,18
BE353,-262.333333333333,0.0333333333333333,3
CH031,-1508.85714285714,0.128571428571429,7
CH032,-3651.33333333333,1.04854396770154e-16,18
CY000,-36337,-0.0388888888888888,18
CZ010,-16194.8888888889,0.0611111111111117,18
CZ020,-256207.611111111,1.16111111111111,18
CZ031,-67457.7222222222,-0.255555555555557,18
CZ032,-71365.6666666667,-0.544444444444445,18
CZ041,-224446.444444444,-0.75,18
CZ042,-636951.388888889,0.116666666666666,18
CZ051,-14895.2777777778,-0.966666666666667,18
CZ052,-23910.7777777778,0.0833333333333337,18
CZ053,-112458.111111111,0.144444444444445,18
CZ063,-9183.61111111111,0.211111111111111,18
CZ064,-48380.3888888889,-0.483333333333332,18
CZ071,-56388.1666666667,0.0444444444444452,18
CZ072,-22329.7777777778,0.611111111111111,18
